customer_id,first_name,last_name,email,phone
91,Banara,Rahayu,Banara.Rahayu@pd.mil.id,+62 (90) 021 4198
92,Dirja,Megantara,Dirja.Megantara@perum.web.id,(0280) 717 2980
93,Hasan,Gunarto,Hasan.Gunarto@pd.my.id,(007) 307-6693
94,Cagak,Jailani,Cagak.Jailani@ud.mil,+62 (458) 863 2912
95,Cecep,Siregar,Cecep.Siregar@pt.or.id,089 205 6049
96,Jaeman,Permadi,Jaeman.Permadi@pd.int,(028) 283 9445
97,Nadine,Sihotang,Nadine.Sihotang@ud.gov,+62-008-665-7233
98,Prasetya,Pratiwi,Prasetya.Pratiwi@perum.edu,+62-0905-000-4853
99,Natalia,Hidayat,Natalia.Hidayat@perum.co.id,082 287 6920
100,Ivan,Suwarno,Ivan.Suwarno@cv.desa.id,082 145 1274
